,no.peserta,kode.pendidikan,twk.nilai,tiu.nilai,tkp.nilai,skd.nilai,skd.keterangan,kode.formasi,lokasi.formasi,nama.pendidikan,jk,kode.formasi_x,lokasi.formasi_x,kode.prodi_y,nama.prodi_y,no.ujian_x,psi.keterangan,mtk.nilai,mtk.keterangan,t2.keterangan,hasil.akhir_x
14659,S2240160115200386,3001005,90,155,198,443,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5200386,P,140.0,P,P/L,Lulus
14660,S2240160115304255,3001005,95,150,197,442,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5304255,P,70.0,P,P,
14661,S2240160113501049,3001005,100,145,194,439,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3501049,P,105.0,P,P/L,Lulus
14662,S2240160113513387,3001005,115,140,184,439,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3513387,P,75.0,P,P,
14663,S2240160125300240,3001005,120,140,179,439,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5300240,P,100.0,P,P,
14664,S2240160113306037,3001005,105,150,183,438,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3306037,P,70.0,P,P,
14665,S2240160113303638,3171110,95,160,180,435,P/L,40160012,Nusa Tenggara Timur,SMK TEKNOLOGI INFORMASI DAN KOMUNIKASI,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3303638,P,80.0,P,P,
14666,S2240160123504969,3001005,90,155,189,434,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3504969,P,125.0,P,P/L,Tidak Lulus
14667,S2240160113309041,3001005,85,145,203,433,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3309041,P,135.0,P,P/L,Tidak Lulus
14668,S2240160123204977,3000020,90,145,197,432,P/L,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3204977,TL,60.0,TL,TL,
14669,S2240160115302691,3001005,85,155,191,431,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5302691,P,130.0,P,P/L,Lulus
14670,S2240160113204195,3001005,90,165,175,430,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3204195,P,125.0,P,P/L,Lulus
14671,S2240160123320668,3001005,100,155,173,428,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3320668,P,95.0,P,P,
14672,S2240160115301638,3001005,95,145,187,427,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5301638,P,90.0,P,P,
14673,S2240160115200427,3001005,90,160,177,427,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5200427,P,145.0,P,P/L,Lulus
14674,S2240160113519211,3001005,95,155,176,426,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3519211,P,90.0,P,P,
14675,S2240160113211607,3001005,105,140,179,424,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3211607,P,90.0,P,P,
